id,match_id,robot_id,created_at,created_by,updated_at,updated_by,available,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field15,field16,field17,field18,field19,field20,field21,field14
15,Q1,2341,2023-04-07 13:56:04.208607,Ely,2023-04-07 13:56:04.208607,Ely,True,1,,,,,,0,,2.0,,['1'],['1'],2,0,0,2.0,0,,1,,,,,,0,,2.0,,['1'],['1'],2,0,0,2.0,0,
16,Q3,2773,2023-04-07 14:13:48.317839,Ely,2023-04-07 14:13:48.317839,Ely,True,3,,,1.0,['3'],['1'],1,,,,['3'],['1'],2,0,1,1.0,0,1.0,3,,,1.0,['3'],['1'],1,,,,['3'],['1'],2,0,1,1.0,0,1.0
17,Q4,2972,2023-04-07 14:23:31.396379,Ely,2023-04-07 14:23:31.396379,Ely,True,1,,,1.0,['1'],['2'],0,,1.0,2.0,"['1', '2']",['2'],2,0,0,,0,,1,,,1.0,['1'],['2'],0,,1.0,2.0,"['1', '2']",['2'],2,0,0,,0,
18,Q5,2357,2023-04-07 14:30:46.247915,Ely,2023-04-07 14:30:46.247915,Ely,True,3,,,1.0,['3'],['1'],1,,1.0,1.0,"['3', '2', '1']",['3'],2,0,0,,0,2.0,3,,,1.0,['3'],['1'],1,,1.0,1.0,"['3', '2', '1']",['3'],2,0,0,,0,2.0
19,Q6,2410,2023-04-07 14:40:39.783537,Ely,2023-04-07 14:40:39.783537,Ely,True,1,,,,,,1,,3.0,,"['2', '1']",['2'],2,0,0,,0,,1,,,,,,1,,3.0,,"['2', '1']",['2'],2,0,0,,0,
20,Q7,1986,2023-04-07 14:55:56.634163,Ely,2023-04-07 14:55:56.634163,Ely,True,3,,,2.0,['3'],['3'],1,,1.0,3.0,"['3', '2']",['3'],2,0,0,3.0,0,,3,,,2.0,['3'],['3'],1,,1.0,3.0,"['3', '2']",['3'],2,0,0,3.0,0,
21,Q8,6026,2023-04-07 15:06:48.586665,Ely,2023-04-07 15:06:48.586665,Ely,True,3,,,,,,0,,,,['1'],['3'],2,0,0,,1,3.0,3,,,,,,0,,,,['1'],['3'],2,0,0,,1,3.0
22,Q8,31,2023-04-07 15:07:05.627072,Saris,2023-04-07 15:07:05.627072,Saris,True,1,0.0,,,[],[],1,1,3.0,,"['1', '2', '3']",['2'],1,0,0,,0,,1,0.0,,,[],[],1,1,3.0,,"['1', '2', '3']",['2'],1,0,0,,0,
23,Q9,1750,2023-04-07 15:14:55.506696,Ely,2023-04-07 15:14:55.506696,Ely,True,3,1.0,,,['3'],['1'],1,,,,,,,0,0,,0,,3,1.0,,,['3'],['1'],1,,,,,,,0,0,,0,
24,Q9,2341,2023-04-07 15:15:04.553016,Saris,2023-04-07 15:15:04.553016,Saris,True,1,1.0,,,['1'],['1'],0,,3.0,,['1'],['1'],0,0,0,,0,,1,1.0,,,['1'],['1'],0,,3.0,,['1'],['1'],0,0,0,,0,
25,Q10,7744,2023-04-07 15:24:48.289642,Ely,2023-04-07 15:24:48.289642,Ely,True,3,,,,,,0,,,,,,2,1,0,,0,,3,,,,,,0,,,,,,2,1,0,,0,
26,Q11,1561,2023-04-07 15:33:23.064814,Ely,2023-04-07 15:33:23.064814,Ely,True,2,,,,,,0,2,3.0,2.0,"['2', '1', '3']",['2'],2,1,1,4.0,0,2.0,2,,,,,,0,2,3.0,2.0,"['2', '1', '3']",['2'],2,1,1,4.0,0,2.0
28,Q10,2410,2023-04-07 15:37:54.325035,Saris,2023-04-07 15:37:54.325035,Saris,True,1,1.0,,,['1'],['2'],1,,3.0,,"['2', '3']",['2'],0,0,1,2.0,1,,1,1.0,,,['1'],['2'],1,,3.0,,"['2', '3']",['2'],0,0,1,2.0,1,
29,Q12,2083,2023-04-07 15:40:33.666897,Ely,2023-04-07 15:40:33.666897,Ely,True,1,,,,,,0,,1.0,1.0,"['1', '2']",['2'],2,0,0,,0,1.0,1,,,,,,0,,1.0,1.0,"['1', '2']",['2'],2,0,0,,0,1.0
