eventCode,matchLevel,matchNumber,match_key,robot,teamNumber,autoStartingLocation,taxi,autoUpper,autoLower,autoPickedUpCargo,upper,lower,wasDefended,wallbot,pickupLoc,shootingLocations,climb,climbBeforeEndgame,defenseRating,heldCargo,speedRating,diedOrTipped,comments,autoCargo,autoScore,teleopCargo,teleopScore,totalCargo,taxiScore,autoUpperScore,autoLowerScore,upperScore,lowerScore,climbScore,endgameScore,totalScore,climbLevel,wasDefendedMetric,diedMetric,heldCargoMetric
2022ilch,qm,1,2022ilch_qm1,r1,8802,18,Y,0,0,N,0,0,N,N,x,,x,N,a,N,4,Y,Leaf blower,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0
2022ilch,qm,1,2022ilch_qm1,b1,7460,29,Y,1,0,N,5,0,Y,N,g,"[41,54,54,57,57,17,17,21,8]",4,N,x,N,3,N,Climber took 31 sec,1,4,5,10,6,2,4,0,10,0,15,15,31,4,1,0,0
2022ilch,qm,1,2022ilch_qm1,b2,2830,29,Y,1,0,Y,8,0,N,Y,b,"[16,30,54,57,43,31,31]",2,N,x,N,4,N,,1,4,8,16,9,2,4,0,16,0,6,6,28,2,0,0,0
2022ilch,qm,1,2022ilch_qm1,r3,8880,41,N,0,0,N,1,0,N,N,g,"[15,27,27]",2,N,g,N,1,N,Very slow. Robot is restricting the driver skill ,0,0,1,2,1,0,0,0,2,0,6,6,8,2,0,0,0
2022ilch,qm,1,2022ilch_qm1,b3,111,41,Y,5,0,N,7,1,Y,N,b,"[18,33,21,57,20,20]",x,N,a,N,5,N,Tipped robot over?,5,20,8,15,13,2,20,0,14,1,0,0,37,0,1,0,0
2022ilch,qm,1,2022ilch_qm1,r2,3734,19,Y,1,0,Y,4,0,N,N,g,"[10,34,34,33,34,34,34,33,46,46,46]",1,N,x,N,3,N,Did not leave themselves enough time to climb,1,4,4,8,5,2,4,0,8,0,4,4,18,1,0,0,0
2022ilch,qm,2,2022ilch_qm2,r1,101,44,Y,0,0,N,0,0,N,N,x,,x,N,b,N,2,Y,auton bumped into wall and robot died for a sec,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0
2022ilch,qm,2,2022ilch_qm2,b1,8029,29,Y,1,0,N,0,0,N,N,x,,2,N,b,N,3,N,"Intake broke, and driver took 30 sec to change strategy",1,4,0,0,1,2,4,0,0,0,6,6,12,2,0,0,0
2022ilch,qm,2,2022ilch_qm2,r3,4241,29,Y,0,0,N,0,0,Y,N,x,[28],x,N,a,N,3,N,Pretty slow. Wandered around field ,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0
2022ilch,qm,2,2022ilch_qm2,b2,8868,29,Y,0,0,N,0,0,N,N,x,,x,N,e,N,4,N,Defense bot ,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
